Joueur,Degré_Entrant,Degré_Sortant,Intermédiarité,PageRank
DeMarcus Cousins,0,105,0.0,0.019436441526535564
"Evans, Jacob",11,0,0.0,0.022438969231470603
"Bell, Jordan",72,0,0.0,0.031134846123169798
"McKinnie, Alfonzo",108,0,0.0,0.03262471387517128
"Lee, Damion",47,0,0.0,0.02593829987127722
"Cook, Quinn",113,0,0.0,0.04141783653888005
"Looney, Kevon",152,0,0.0,0.03390344736442645
"Green, Draymond",137,0,0.0,0.03394954395534335
"Thompson, Klay",526,0,0.0,0.06918868128434125
"Jerebko, Jonas",140,0,0.0,0.05529688632631116
"Curry, Stephen",364,0,0.0,0.05611370542445741
"Durant, Kevin",350,0,0.0,0.05797704173456289
"Iguodala, Andre",124,0,0.0,0.03007978128907641
"Livingston, Shaun",59,0,0.0,0.024789315950347595
Damion Lee,0,13,0.0,0.019436441526535564
"Derrickson, Marcus",12,0,0.0,0.023777736459081968
"Jones, Damian",46,0,0.0,0.023233274513767145
"Cousins, DeMarcus",111,0,0.0,0.029347782784617645
"Bogut, Andrew",10,0,0.0,0.02005930674298671
Jordan Bell,0,73,0.0,0.019436441526535564
Quinn Cook,0,115,0.0,0.019436441526535564
Kevon Looney,0,124,0.0,0.019436441526535564
"Moore, E'Twaun",0,0,0.0,0.019436441526535564
Andre Iguodala,0,216,0.0,0.019436441526535564
Jacob Evans,0,24,0.0,0.019436441526535564
Klay Thompson,0,183,0.0,0.019436441526535564
"Davis, Anthony",0,0,0.0,0.019436441526535564
Andrew Bogut,0,10,0.0,0.019436441526535564
Damian Jones,0,28,0.0,0.019436441526535564
Jonas Jerebko,0,96,0.0,0.019436441526535564
Draymond Green,0,449,0.0,0.019436441526535564
Alfonzo McKinnie,0,30,0.0,0.019436441526535564
Stephen Curry,0,351,0.0,0.019436441526535564
"Bolden, Jonah",0,0,0.0,0.019436441526535564
Marcus Derrickson,0,1,0.0,0.019436441526535564
Shaun Livingston,0,115,0.0,0.019436441526535564
Kevin Durant,0,449,0.0,0.019436441526535564
